corrente;1;123;2000.00;7;10;100
corrente;1;124;3000.00;6;10;100
corrente;2;125;1000.00;5;10;100
corrente;2;126;5000.00;4;10;100
corrente;2;127;6000.00;3;10;100
corrente;1;128;500.00;2;10;100
poupanca;1;229;30000.00;1;10;100
poupanca;1;229;30000.00;1;10;100
poupanca;1;229;30000.00;1;10;100
diretor;Alfredo;2;123456789;123456789;1;5000.00;123
cliente;Debora;1;123450;123450;1;123 
cliente;Marcelo;1;123450;123450;1;123 
cliente;Fred;1;123450;123450;1;123 
cliente;Gustavo;1;123450;123450;1;123 
cliente;Granato;1;123450;123450;1;123 
cliente;Igor;1;123450;123450;1;123 
cliente;Lucas;1;123450;123450;1;123 
cliente;Debora;1;123450;123450;1;123 
cliente;Lilica;1;123450;123450;1;123 
cliente;Dayane;1;123450;123450;1;123 
